id;type;sub_type;sno;description
1;Brand;Kiribati Cambridgeshire incremental;76624;complexity systematic
2;HDD;Nepalese protocol;24659;USB input
3;ubiquitous;Buckinghamshire Fish;5462;well-modulated
4;online Response;withdrawal utilize;7431;networks Market
5;open-source Representative Awesome;index;42203;best-of-breed
6;orchid Cheese Synergized;York;66912;Executive payment
7;payment metrics Electronics;Nigeria asynchronous Dam;69981;context-sensitive yellow Turnpike
8;Soap;compress;10542;experiences zero reintermediate
9;Bike system Riyal;loyalty;13515;collaborative transmitting Bedfordshire
10;sensor;Clothing Strategist Kip;6283;Crossing
